Date,Avg_Readmission_Rate_2013
2013-01-01,18.79
2013-02-01,17.91
2013-03-01,18.00
2013-04-01,17.89
2013-05-01,17.72
2013-06-01,17.84
2013-07-01,17.73
2013-08-01,17.92
2013-09-01,17.83
2013-10-01,17.54
2013-11-01,17.38
2013-12-01,17.47
